日期,计划ID,计划,单元,单元ID,总花费,展示量,点击量,点击率,千次展示价格,单次点击价格,播放量,播放率,播放成本,互动量,互动率,互动成本,涨粉数,涨粉成本,涨粉率,播转粉率
2023-03-13,2866200,小新 14 2023开箱-0313,程序化3,11465111,496,145921,5688,3.9,3.4,0.09,4678,3.21,0.11,19,0.01,26.11,2,248,0.04,0.04
2023-03-13,2866289,小新 Air14 2023开箱-0313,程序化5,11465320,509.68,139486,6436,4.61,3.65,0.08,5303,3.8,0.1,25,0.02,20.39,2,254.84,0.03,0.04
2023-03-13,2866768,小新Pro14/16 2023官方上手-0313,程序化8,11467575,502.57,147588,6391,4.33,3.41,0.08,4831,3.27,0.1,35,0.02,14.36,3,167.52,0.05,0.06
2023-03-13,2858041,降噪技术哪家强？（下）-0313,story,11469008,501.44,37677,231,0.61,13.31,2.17,4605,12.22,0.11,20,0.05,25.07,0,0,0,0
2023-03-13,2866200,小新 14 2023开箱-0313,story,11471840,504.11,62443,600,0.96,8.07,0.84,5309,8.5,0.09,64,0.1,7.88,2,252.06,0.33,0.04
2023-03-13,2866307,产品测试标准-0313,程序化6,11465291,499.8,155170,5531,3.56,3.22,0.09,4418,2.85,0.11,14,0.01,35.7,0,0,0,0
2023-03-13,2866307,产品测试标准-0313,story,11472308,500.08,43737,306,0.7,11.43,1.63,4961,11.34,0.1,11,0.03,45.46,0,0,0,0
2023-03-13,2867010,入门级也能给你带来不小的惊喜-0313,程序化9,11468873,169.6,69751,2429,3.48,2.43,0.07,1623,2.33,0.1,2,0,84.8,2,84.8,0.08,0.12
2023-03-13,2858041,降噪技术哪家强？（下）-0313,程序化,11464652,502.56,167253,6102,3.65,3,0.08,4836,2.89,0.1,19,0.01,26.45,0,0,0,0
2023-03-13,2866275,超智能电脑之智能降噪技术（上）-0313,程序化4,11465173,175.25,69327,2516,3.63,2.53,0.07,1789,2.58,0.1,4,0.01,43.81,2,87.62,0.08,0.11
